source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,delta_log10_t_set
mE,0.25,0.2321218052806014,0.1,700.0,0.1382180750494917,1.392730831683609,2.2914516992903025,0.875,-3.762142576253975,0.17576034756578007
mE,0.25,0.2334198036014887,0.105,700.0,0.137984435351732,1.4005188216089324,2.287578297911637,0.96875,-3.937902923819755,0.0
mE,0.5,0.4991198456715698,0.055,700.0,0.0901584277791174,2.994719074029419,1.4946936749468234,0.40625,-3.421422397501293,0.41777089386024624
mE,0.5,0.4978146853146853,0.06,700.0,0.0903933566433566,2.986888111888112,1.498588448803141,0.625,-3.426606525870966,0.41258676549057327
mE,0.5,0.4995569086086328,0.065,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.53125,-3.458244810075128,0.38094848128641123
mE,0.5,0.4999820385094358,0.07,700.0,0.0900032330683015,2.9998922310566147,1.4921207756809889,0.5,-3.4960312312781743,0.3431620600833649
mE,0.5,0.4969405594405594,0.075,700.0,0.0905506993006993,2.9816433566433567,1.5011969578524065,0.6875,-3.5663042017313886,0.27288908963015057
mE,0.5,0.5012811704120159,0.08,700.0,0.0897693893258371,3.007687022472096,1.4882439915422525,0.65625,-3.5703171617514364,0.26887612961010277
mE,0.5,0.4986827827345069,0.085,700.0,0.0902370991077887,2.992096696407041,1.4959979294714565,0.71875,-3.700030781963026,0.13916250939851338
mE,0.5,0.4995569086086328,0.09,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.9375,-3.807266498785595,0.03192679257594433
mE,0.5,0.4986767542802026,0.095,700.0,0.0902381842295635,2.9920605256812154,1.4960159191890374,0.84375,-3.8312433046104464,0.007949986751092819
mE,0.5,0.4991138172172655,0.1,700.0,0.0901595129008922,2.994682903303593,1.4947116646644043,0.625,-3.822693928206452,0.016499363155087376
mE,0.5,0.4982517482517482,0.105,700.0,0.0903146853146853,2.9895104895104896,1.497284194278508,0.875,-3.839193291361539,0.0
mE,0.75,0.7433130699088146,0.055,700.0,0.0462036474164133,4.459878419452887,0.765988285886924,0.4375,-3.428872133717218,0.40547193838081474
mE,0.75,0.7428571428571429,0.06,700.0,0.0462857142857142,4.457142857142857,0.7673488334639877,0.5625,-3.3095647197653024,0.5247793523327302
mE,0.75,0.7435410334346505,0.065,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.5,-3.442420689727264,0.3919233823707686
mE,0.75,0.7437657862066013,0.07,700.0,0.0461221584828117,4.462594717239607,0.7646373196308255,0.40625,-3.402364983390997,0.4319790887070356
mE,0.75,0.7435410334346505,0.075,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.375,-3.337394093256251,0.4969499788417817
mE,0.75,0.7439937497324371,0.08,700.0,0.0460811250481613,4.463962498394623,0.7639570458422936,0.46875,-3.638135085239501,0.19620898685853172
mE,0.75,0.7439969604863221,0.085,700.0,0.046080547112462,4.463981762917933,0.7639474645213284,0.5,-3.5511343772504818,0.2832096948475509
mE,0.75,0.7435378226807654,0.09,700.0,0.0461631919174622,4.461226936084593,0.7653175934193573,0.59375,-3.634123670853979,0.20022040124405382
mE,0.75,0.7428571428571429,0.095,700.0,0.0462857142857142,4.457142857142857,0.7673488334639877,0.71875,-3.739122106731622,0.09522196536641081
mE,0.75,0.7435410334346505,0.1,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.59375,-3.8343440720980326,0.0
mE,0.75,0.7430851063829788,0.105,700.0,0.0462446808510638,4.458510638297873,0.7666685596754559,0.59375,-3.74604019187576,0.08830388022227265
mE,0.9,0.8958031837916063,0.055,700.0,0.0187554269175108,5.374819102749638,0.310937298654004,0.25,-3.3501814938135865,0.4401062754435565
mE,0.9,0.8958967513348969,0.06,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.46875,-3.196442624469032,0.5938451447881112
mE,0.9,0.8958967513348969,0.065,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.25,-3.3836934852602942,0.4065942839968488
mE,0.9,0.8959903188781875,0.07,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.25,-3.293077912028191,0.49720985722895206
mE,0.9,0.8959903188781875,0.075,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.34375,-3.36361374081108,0.42667402844606306
mE,0.9,0.8959903188781875,0.08,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.21875,-3.432453213337716,0.3578345559194269
mE,0.9,0.8959903188781875,0.085,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.34375,-3.4202253693757583,0.3700623998813848
mE,0.9,0.8958967513348969,0.09,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.5,-3.4383258399128143,0.3519619293443288
mE,0.9,0.8958031837916063,0.095,700.0,0.0187554269175108,5.374819102749638,0.310937298654004,0.53125,-3.68341146423284,0.1068763050243029
mE,0.9,0.8958967513348969,0.1,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.4375,-3.553052682356188,0.23723508690095496
mE,0.9,0.8959903188781875,0.105,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.75,-3.790287769257143,0.0
