zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,zmax
z<=10,mE,0.5,0.4909023590394584,0.095,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.5,-3.8393009804470672,10.0
z<=10,mE,0.5,0.48905109489051096,0.105,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.5,-3.997847604858773,10.0
z<=10,mE,0.5,0.48905109489051096,0.115,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.75,-3.974196146538469,10.0
z<=10,mE,0.5,0.4909023590394584,0.125,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,1.0,-4.125223346357719,10.0
z<=10,mE,0.75,0.708029197080292,0.045,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,10.0
z<=10,mE,0.75,0.708029197080292,0.055,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,10.0
z<=10,mE,0.75,0.708029197080292,0.065,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,10.0
z<=10,mE,0.75,0.708029197080292,0.075,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.5,-3.659701411978598,10.0
z<=10,mE,0.75,0.708029197080292,0.085,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.5,-3.77189884587946,10.0
z<=10,mE,0.75,0.708029197080292,0.095,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.75,-3.7112936263512633,10.0
z<=10,mE,0.75,0.708029197080292,0.105,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,-3.7595966468498023,10.0
z<=10,mE,0.75,0.708029197080292,0.115,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,-4.067222384188369,10.0
z<=10,mE,0.75,0.708029197080292,0.125,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,-4.063357358285982,10.0
z<=12,mE,0.25,0.249087686372641,0.045,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.0,,12.0
z<=12,mE,0.25,0.2517985611510791,0.055,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.25,-3.685391131760128,12.0
z<=12,mE,0.25,0.249087686372641,0.065,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.25,-3.6396539361088553,12.0
z<=12,mE,0.25,0.25175983436853006,0.075,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.0,,12.0
z<=12,mE,0.25,0.249087686372641,0.085,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.5,-3.7117273184656314,12.0
z<=12,mE,0.25,0.2517985611510791,0.095,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.5,-4.012318062259352,12.0
z<=12,mE,0.25,0.24362636200148102,0.105,700.0,0.13614725483973342,1.4617581720088864,2.257120556370852,0.5,-4.015190769654305,12.0
z<=12,mE,0.25,0.249087686372641,0.115,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,-4.141559382625616,12.0
z<=12,mE,0.25,0.249087686372641,0.125,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,-4.07412620518586,12.0
z<=12,mE,0.5,0.4890510948905109,0.045,700.0,0.09197080291970804,2.9343065693430654,1.5247401800379323,0.0,,12.0
z<=12,mE,0.5,0.49457825044312376,0.055,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.0,,12.0
