zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=15,mE,0.5,0.4905225470704255,0.065,700.0,0.09170594152732342,2.9431352824225527,1.5203491690399944,0.0,,,15.0
z<=15,mE,0.5,0.490547263681592,0.075,700.0,0.09170149253731344,2.943283582089552,1.5202754113515384,1.0,79.0,29.673913043478258,15.0
z<=15,mE,0.5,0.490547263681592,0.085,700.0,0.09170149253731344,2.943283582089552,1.5202754113515384,0.75,57.0,72.02898550724638,15.0
z<=15,mE,0.5,0.4869739478957916,0.095,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.5,118.0,45.90579710144927,15.0
z<=15,mE,0.5,0.4869739478957916,0.105,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.75,81.0,34.565217391304344,15.0
z<=15,mE,0.5,0.49230920496332564,0.115,700.0,0.09138434310660137,2.953855229779954,1.515017541845876,1.0,76.5,41.847826086956516,15.0
z<=15,mE,0.5,0.4869739478957916,0.125,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,1.0,88.0,42.725752508361204,15.0
z<=15,mE,0.75,0.7420622835122086,0.045,700.0,0.04642878896780245,4.452373701073252,0.7697208005405005,0.0,,,15.0
z<=15,mE,0.75,0.7392942884550568,0.055,700.0,0.04692702807808975,4.435765730730341,0.7779808696777095,0.0,,,15.0
z<=15,mE,0.75,0.7411526794742164,0.065,700.0,0.04659251769464105,4.446916076845298,0.7724351811973185,0.5,50.5,25.362318840579704,15.0
z<=15,mE,0.75,0.7383717165387227,0.075,700.0,0.04709309102302993,4.430230299232336,0.7807339482257651,0.75,64.0,50.217391304347814,15.0
z<=15,mE,0.75,0.7402301075578821,0.085,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,0.75,72.0,35.67632850241546,15.0
z<=15,mE,0.75,0.7383717165387227,0.095,700.0,0.04709309102302993,4.430230299232336,0.7807339482257651,1.0,81.5,62.746376811594196,15.0
z<=15,mE,0.75,0.7402301075578821,0.105,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,0.75,87.0,48.69565217391304,15.0
