m_target,fit_ok,E50,wE,a,b,param,level_name
0.25,True,0.07579531728277393,0.0036196449419754547,-20.939986793679257,276.27019114594174,ACTIVE_Z_MAX_FRAC,lvl1
0.9,True,0.09725421867884233,0.004911262442728026,-19.802285015911547,203.61363532520505,ACTIVE_Z_MAX_FRAC,lvl1
0.25,True,0.08472875919695201,0.0043043021143381426,-19.68466825660551,232.32569959921747,ACTIVE_Z_MAX_FRAC,lvl2
0.9,True,0.08826773545714386,0.004372066852860962,-20.189017786721134,228.72477335190496,ACTIVE_Z_MAX_FRAC,lvl2
0.25,False,,,-6.906754778648546,-1.2998548826402722e-13,MU_SHIFT_EV,lvl0
0.9,True,0.07737168719883358,0.004626005832143614,-16.725376060103414,216.16920433855498,MU_SHIFT_EV,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,MU_SHIFT_EV,lvl1
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,MU_SHIFT_EV,lvl1
0.25,True,0.07972875919695202,0.0043043021143381426,-18.52303975860942,232.32569959921747,MU_SHIFT_EV,lvl2
0.9,True,0.10356367921654076,0.004805590861894872,-21.550665088393526,208.09095670822347,MU_SHIFT_EV,lvl2
0.25,True,0.08472875919695201,0.0043043021143381426,-19.68466825660551,232.32569959921747,MU_SCALE,lvl0
0.9,True,0.12783279661305705,0.058709941573581705,-2.1773620137714333,17.032890396368234,MU_SCALE,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,MU_SCALE,lvl1
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,MU_SCALE,lvl1
0.25,True,0.1593019869232746,0.022755980665671055,-7.000444817726203,43.94449154672416,MU_SCALE,lvl2
0.9,True,0.0933992622120759,0.002455631221364012,-38.03472663138567,407.2272706504103,MU_SCALE,lvl2
