task,scheme,mask_mode,profile,lattice_tag,m_target,E,T,n_runs,n_formed,p_form,p_form_lo,p_form_hi,log10_t_set_med,log10_t_set_lo,log10_t_set_hi,neck_nm_crit_med,neck_nm_crit_lo,neck_nm_crit_hi,tortuosity_nm_crit_med,tortuosity_nm_crit_lo,tortuosity_nm_crit_hi,branches_crit_med,branches_crit_lo,branches_crit_hi,neck_nm_lrs_med,neck_nm_lrs_lo,neck_nm_lrs_hi,tortuosity_nm_lrs_med,tortuosity_nm_lrs_lo,tortuosity_nm_lrs_hi,branches_lrs_med,branches_lrs_lo,branches_lrs_hi,bottom_contact_frac_lrs_med,bottom_contact_frac_lrs_lo,bottom_contact_frac_lrs_hi,top_contact_frac_lrs_med,top_contact_frac_lrs_lo,top_contact_frac_lrs_hi,G_proxy_lrs_med,G_proxy_lrs_lo,G_proxy_lrs_hi,reset_success_med,reset_success_lo,reset_success_hi
task2_clustered,baseline,clustered,baseline,base,0.0,0.075,700.0,20,7,0.35,0.18118954786794464,0.5671494897805354,-4.016776936159945,-4.108058948284317,-3.9081304148526472,13.613276748253641,11.562765367415183,14.791573147609492,3.0434782608695654,3.0434782608695654,3.0434782608695654,37.0,25.0,57.0,13.711147478535308,11.532060222049921,14.708662030189888,3.0434782608695654,3.0434782608695654,3.0434782608695654,41.0,28.0,59.0,0.125,0.125,0.125,0.9166666666666666,0.75,1.0,1.4797508674630964,1.320212175974204,1.6869913048471108,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.0,0.09,700.0,20,16,0.8,0.5839782779742401,0.9193436467288,-3.9303758392664023,-3.9630101933284037,-3.917238538313942,5.263265114457294,4.729867708202507,7.066854906373794,3.0434782608695654,3.0434782608695654,3.0434782608695654,68.0,50.0,85.0,5.790154278123441,4.908604045830514,7.957179866209158,3.0434782608695654,3.0434782608695654,3.0434782608695654,71.5,51.5,89.0,0.14583333333333331,0.125,0.16666666666666666,0.8125,0.625,0.9166666666666666,0.6525908378002276,0.5007090334498503,0.8227647829488676,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.0,0.105,700.0,20,20,1.0,0.8388698745050667,1.0,-4.0838400663506516,-4.1243559716335945,-4.021919084629356,4.484995606547695,3.8909697499548335,5.97535728275966,3.0434782608695654,3.0434782608695654,3.0434782608695654,70.5,66.0,73.0,5.500274409672487,4.289209199743053,6.837286910126709,3.0434782608695654,3.0434782608695654,3.0434782608695654,73.0,70.0,77.0,0.16666666666666666,0.16666666666666666,0.20833333333333331,0.875,0.75,1.0,0.6976145735342181,0.6072095666040414,0.8417910799870104,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.0,0.12,700.0,20,20,1.0,0.8388698745050667,1.0,-4.203667052612012,-4.233988184521636,-4.160522653006302,4.839087535210745,3.190235073296507,5.979903214334348,3.0434782608695654,3.0434782608695654,3.0434782608695654,71.0,60.0,78.0,5.026149772585994,4.266952595535153,6.583029848596112,3.0434782608695654,3.0434782608695654,3.0434782608695654,74.0,63.462500000000006,82.04999999999995,0.1875,0.14583333333333331,0.25,1.0,0.9583333333333333,1.0,0.6736537726955036,0.5941719422870396,0.9292526065422753,1.0,0.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.045,700.0,20,2,0.1,0.027865893984153206,0.30103820641179335,-3.5170702681679926,-3.539163245654955,-3.4949772906810304,7.353703512372119,5.860798258981437,8.846608765762802,3.0434782608695654,3.0434782608695654,3.0434782608695654,63.5,56.0,71.0,7.426068840095972,5.977833837036827,8.874303843155117,3.0434782608695654,3.0434782608695654,3.0434782608695654,66.0,59.0,73.0,0.125,0.125,0.125,0.9375,0.875,1.0,0.8293772974941216,0.6944302670602015,0.9643243279280416,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.06,700.0,20,11,0.55,0.3420820083075997,0.7418049791429071,-3.571550495971508,-3.6327642538671143,-3.5430060762253306,6.175812922674276,3.9880299832971184,9.632333311809473,3.0434782608695654,3.0434782608695654,3.0434782608695654,83.0,66.0,96.0,6.515348568699979,4.077834889249223,9.688879068999082,3.0434782608695654,3.0434782608695654,3.0434782608695654,88.0,70.0,102.0,0.125,0.125,0.16666666666666666,1.0,0.9583333333333334,1.0,0.8120188110211081,0.4744644530363828,1.1018351808499585,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.075,700.0,20,14,0.7,0.4810232237710206,0.854524726031006,-3.7702046249359613,-3.812989140259475,-3.7259984155848205,7.837641485501424,5.100495034561284,10.531640700005292,3.0434782608695654,3.0434782608695654,3.0434782608695654,67.5,55.0,85.5,8.470308985125712,5.572493861979902,11.31708398751369,3.0434782608695654,3.0434782608695654,3.0434782608695654,69.0,59.4875,89.03749999999997,0.14583333333333331,0.125,0.16666666666666666,1.0,0.9583333333333334,1.0,1.0527457732834802,0.5963449140506903,1.3342077921976123,1.0,0.5,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.09,700.0,20,17,0.85,0.6395767041130426,0.9476322080405041,-3.9169702777557758,-3.9795620832747884,-3.8545002441373444,8.024269734934107,5.6791017081445405,8.795335932564555,3.0434782608695654,3.0434782608695654,3.0434782608695654,76.0,68.0,83.04999999999995,8.432381710660183,6.887155888559744,9.434820826198822,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.0,72.0,87.04999999999995,0.125,0.125,0.16666666666666666,1.0,1.0,1.0,1.023142675415338,0.8797346774186102,1.2920967955927625,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.105,700.0,20,20,1.0,0.8388698745050667,1.0,-4.079835862837983,-4.100719910913378,-4.050991474790893,5.1836461615024545,4.089446884404133,6.972764485784586,3.0434782608695654,3.0434782608695654,3.0434782608695654,77.5,71.5,87.0,6.2162773730505725,4.431775024938305,8.09776655709843,3.0434782608695654,3.0434782608695654,3.0434782608695654,80.0,74.0,89.0,0.125,0.125,0.1875,1.0,1.0,1.0,0.802494055878199,0.5726772504732623,0.9406976416769189,1.0,0.5,1.0
task2_clustered,baseline,clustered,baseline,base,0.5,0.12,700.0,20,20,1.0,0.8388698745050667,1.0,-4.229327555344465,-4.243669488523226,-4.196090389730761,3.8931399526721644,3.1697596581792746,4.954466398484464,3.0434782608695654,3.0434782608695654,3.0434782608695654,79.0,76.5,82.5,4.077906520560713,3.4411547540086014,6.24274717914605,3.0434782608695654,3.0434782608695654,3.0434782608695654,82.0,80.0,86.0,0.16666666666666666,0.125,0.20833333333333334,1.0,1.0,1.0,0.5484678449749479,0.4358005911583919,0.8412752324443751,0.0,0.0,0.0
